Component,Manufacturer Part Number,Manufacturer1 Part Number,References,Quantity Per PCB,Part,Value,Footprint,SMD,Mounted,Part Description,Pin Count,Part Number,Val
1,~~,~~,B1 B2 B3 B4 B5 B6 B7 B8,8,PLATED_HOLE2.7_PAD5.0,PLATED_HOLE2.7_PAD5.0,MTG270_500,No,No,Plated Through Hole: Hole Dia.=2.7mm Pad Dia.=5.0mm,1,PLATED_HOLE2.7_PAD5.0,
2,EEEFK1C471AP,~~,C350,1,CAE830-1020_470UF_16V_20%,CAE830-1020_470UF_16V_20%,CAPAE830X1020N,Yes,Yes,Aluminum Electrolytic SMT Capacitor,2.0000000000000000e+00,CAE830-1020_470UF_16V_20%,470uF
3,CC0201_100NF_6.3V_10%_X5R,02016D104KAT2A,C7 C8 C9 C10 C11 C14 C15 C16 C17 C18 C19 C20 C21 C23 C25 C28 C32 C34 C35 C37 C38 C39 C40 C41 C44 C45 C46 C48 C49 C50 C51 C52 C53 C54 C55 C56 C58 C59 C60 C63 C64 C65 C66 C67 C70 C74 C76 C77 C78 C79 C80 C82 C86 C88 C89 C90 C91 C94 C98 C100 C101 C108 C109 C110 C112 C114 C115 C116 C117 C122 C124 C125 C126 C133 C136 C163 C164 C166 C169 C170 C174 C175 C176 C177 C178 C179 C180 C181 C182 C183 C184 C185 C186 C187 C190 C191 C192 C193 C196 C197 C198 C199 C200 C201 C202 C203 C204 C205 C206 C207 C208 C209 C210 C211 C212 C213 C214 C215 C217 C218 C219 C220 C221 C224 C230 C232 C234 C236 C238 C296 C297 C298 C299 C300 C301 C302 C303 C304 C305 C306 C307 C308 C309 C310 C311 C312 C313 C342 C351 C352 C355 C356 C358 C359 C365 C366 C367 C368 C369 C370 C371 C372 C378 C379,164,CC0201_100NF_6.3V_10%_X5R,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0201_100NF_6.3V_10%_X5R,100nF
4,CC0201_470NF_4V_20%_X5R,AMK063BJ474MP-F,C3 C4 C216 C223 C226 C227 C228 C229 C231 C244 C245 C246 C247 C248 C249 C250 C251 C256 C257 C258 C259 C260 C261 C262 C263 C264 C267 C269 C271 C273 C275 C277 C279 C332 C333 C334 C335 C336 C337 C338 C339,41,CC0201_470NF_4V_20%_X5R,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0201_470NF_4V_20%_X5R,470nF
5,CC0402_100NF_16V_10%_X5R,GRM155R61C104KA88D,C5 C61 C128 C130 C131 C134 C135 C137 C140 C147 C148 C149 C150 C357 C362 C363,16,CC0402_100NF_16V_10%_X5R,CC0402_100NF_16V_10%_X5R,CAPC1005X55N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0402_100NF_16V_10%_X5R,100nF
6,CC0402_100PF_50V_5%_C0G,C0402C101J5GACTU,C102 C374 C375,3,CC0402_100PF_50V_5%_C0G,CC0402_100PF_50V_5%_C0G,CAPC1005X55N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0402_100PF_50V_5%_C0G,100pF
7,CC0402_10NF_16V_10%_X7R,223878715636,C107,1,CC0402_10NF_16V_10%_X7R,CC0402_10NF_16V_10%_X7R,CAPC1005X55N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0402_10NF_16V_10%_X7R,10nF
8,CC0402_150PF_50V_5%_C0G,C0402C151J5GACTU,C92,1,CC0402_150PF_50V_5%_C0G,CC0402_150PF_50V_5%_C0G,CAPC1005X55N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0402_150PF_50V_5%_C0G,150pF
9,CC0402_1NF_50V_10%_X7R,223858715623,C188 C189,2,CC0402_1NF_50V_10%_X7R,CC0402_1NF_50V_10%_X7R,CAPC1005X55N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0402_1NF_50V_10%_X7R,1nF
10,CC0402_1UF_16V_10%_X5R,C1005X5R1C105KT,C24 C29 C31 C36 C71 C73 C81 C83 C85 C95 C97 C123,12,CC0402_1UF_16V_10%_X5R,CC0402_1UF_16V_10%_X5R,CAPC1005X55N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0402_1UF_16V_10%_X5R,1uF
11,CC0402_2.2NF_50V_10%_X7R,223858715627,C138,1,CC0402_2.2NF_50V_10%_X7R,CC0402_2.2NF_50V_10%_X7R,CAPC1005X55N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0402_2.2NF_50V_10%_X7R,2.2nF
12,CC0402_22PF_50V_5%_C0G,C0402C220J5GACTU,C165 C171,2,CC0402_22PF_50V_5%_C0G,CC0402_22PF_50V_5%_C0G,CAPC1005X55N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0402_22PF_50V_5%_C0G,22pF
