Board Layer Stack;;;;;;;;;;;;;
Number;Name;Type;Manufacturer;Material;Process;Thickness (mm);Weight (oz);Dk;Df;Orientation;;;
;Top Overlay;Overlay;;;;;;;;;;;
;Top Solder;Solder Mask;Altium Designer;SM-001;;0,025;;4;0,03;;;;
;Top Surface Finish;Surface Finish;;PbSn;HASL;0,02;;;;;;;
1;Top Layer;Signal;Altium Designer;CF-004;ED;0,035;1;;;Top;;;
;Dielectric 1;Prepreg;Altium Designer;PP-013;;0,11;;4,3;0,02;;;;
2;Int1 (GND);Plane;Altium Designer;CF-004;ED;0,018;0,5;;;;;;
;Dielectric 2;Core;Altium Designer;Core-011;;0,15;;4,3;0,02;;;;
3;Int2 (PWR);Signal;Altium Designer;CF-004;ED;0,018;0,5;;;Not allowed;;;
;Dielectric 3;Prepreg;Altium Designer;PP-013;;0,11;;4,3;0,02;;;;
4;Int3 (Sign);Plane;Altium Designer;CF-004;ED;0,018;0,5;;;;;;
;Dielectric 4;Core;Altium Designer;Core-011;;0,15;;4,3;0,02;;;;
5;Int4 (Sign);Signal;Altium Designer;CF-004;ED;0,018;0,5;;;Not allowed;;;
;Dielectric 5;Prepreg;Altium Designer;PP-014;;0,11;;4,3;0,02;;;;
6;Int5 (GND);Plane;Altium Designer;CF-004;ED;0,018;0,5;;;;;;
;Dielectric 6;Core;Altium Designer;Core-011;;0,15;;4,3;0,02;;;;
7;Int6 (PWR);Plane;Altium Designer;CF-004;ED;0,018;0,5;;;;;;
;Dielectric 7;Prepreg;Altium Designer;PP-014;;0,11;;4,3;0,02;;;;
8;Int7 (Sign);Signal;Altium Designer;CF-004;ED;0,018;0,5;;;Not allowed;;;
;Dielectric 8;Core;Altium Designer;Core-011;;0,15;;4,3;0,02;;;;
9;Int8 (Sign);Plane;Altium Designer;CF-004;ED;0,018;0,5;;;;;;
;Dielectric 9;Prepreg;Altium Designer;PP-013;;0,11;;4,3;0,02;;;;
10;Int9 (GND);Signal;Altium Designer;CF-004;ED;0,018;0,5;;;Not allowed;;;
;Dielectric 10;Core;Altium Designer;Core-011;;0,15;;4,3;0,02;;;;
11;Int10 (PWR);Plane;Altium Designer;CF-004;ED;0,018;0,5;;;;;;
;Dielectric 11;Prepreg;Altium Designer;PP-013;;0,11;;4,3;0,02;;;;
12;Bottom Layer;Signal;Altium Designer;CF-004;ED;0,035;1;;;Bottom;;;
;Bottom Surface Finish;Surface Finish;;PbSn;HASL;0,02;;;;;;;
;Bottom Solder;Solder Mask;Altium Designer;SM-001;;0,025;;4;0,03;;;;
;Bottom Overlay;Overlay;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
No back drills;;;;;;;;;;;;;
